t,u,v,raw
0.001,1.2,0.142,0
0.002,1.2,0.142,0
0.003,1.2,0.142,0
0.01,1.2,0.142,0
0.011,1.2,0.142,0
0.012,1.2,0.142,0
0.02,1.2,0.142,0
0.021,1.2,0.142,0
0.022,1.2,0.142,0
0.023,1.2,0.142,0
0.028,1.2,0.142,0
0.033,1.2,0.142,0
0.038,1.2,0.142,0
0.046,1.2,0.142,0
0.047,1.2,0.142,0
0.048,1.2,0.142,0
0.049,1.2,0.142,0
0.05,1.2,0.142,0
0.051,1.2,0.142,0
0.052,1.2,0.142,0
0.053,1.2,0.142,0
0.057,1.2,0.142,0
0.061,1.2,0.142,0
0.063,1.2,0.142,0
0.063,1.2,0.142,0
0.064,1.2,0.142,0
0.065,1.2,0.142,0
0.066,1.2,0.142,0
0.07,1.2,0.142,0
0.071,1.2,0.142,0
0.072,1.2,0.142,0
0.076,1.2,0.142,0
0.077,1.2,0.142,0
0.078,1.2,0.142,0
0.082,1.2,0.142,0
0.083,1.2,0.142,0
0.09,1.2,0.142,0
0.095,1.2,0.142,0
0.106,1.2,0.142,0
0.11,1.2,0.142,0
0.111,1.2,0.142,0
0.112,1.2,0.142,0
0.118,1.2,0.142,0
0.119,1.2,0.142,0
0.12,1.2,0.142,0
0.121,1.2,0.142,0
0.122,1.2,0.142,0
0.128,1.2,0.142,0
0.129,1.2,0.146,5
0.132,1.2,0.147,6
0.135,1.2,0.153,13
0.136,1.2,0.153,14
0.137,1.2,0.155,16
0.138,1.2,0.155,16
0.158,1.2,0.176,41
0.159,1.2,0.178,44
0.16,1.2,0.176,41
0.161,1.2,0.181,47
0.168,1.2,0.181,48
0.17,1.2,0.185,52
0.171,1.2,0.185,52
0.172,1.2,0.183,50
0.176,1.2,0.195,64
0.177,1.2,0.195,64
0.178,1.2,0.202,73
0.183,1.2,0.199,69
0.184,1.2,0.202,73
0.185,1.2,0.205,77
0.189,1.2,0.208,80
0.193,1.2,0.208,80
0.199,1.2,0.21,83
0.211,1.2,0.222,97
0.212,1.2,0.221,96
0.213,1.2,0.222,98
0.214,1.2,0.227,103
0.215,1.2,0.227,103
0.216,1.2,0.226,102
0.223,1.2,0.236,115
0.228,1.2,0.237,116
0.232,1.2,0.241,121
0.233,1.2,0.239,118
0.235,1.2,0.245,125
0.236,1.2,0.245,126
0.24,1.2,0.247,128
0.246,1.2,0.252,134
0.247,1.2,0.254,137
0.248,1.2,0.257,140
0.249,1.2,0.257,140
0.25,1.2,0.26,144
0.251,1.2,0.255,138
0.252,1.2,0.263,147
0.253,1.2,0.259,143
0.254,1.2,0.26,144
0.255,1.2,0.26,144
0.265,1.2,0.269,155
0.268,1.2,0.269,155
0.268,1.2,0.271,157
0.274,1.2,0.277,165
0.28,1.2,0.286,176
0.288,1.2,0.29,180
0.289,1.2,0.291,181
0.29,1.2,0.29,180
0.293,1.2,0.291,182
0.294,1.2,0.29,180
0.3,1.2,0.296,188
0.301,1.2,0.3,192
0.302,1.2,0.299,191
0.304,1.2,0.3,193
0.305,1.2,0.3,193
0.308,1.2,0.305,198
0.309,1.2,0.305,199
0.31,1.2,0.308,202
0.311,1.2,0.309,203
0.312,1.2,0.311,206
0.313,1.2,0.312,207
0.319,1.2,0.316,212
0.324,1.2,0.318,214
0.325,1.2,0.318,214
0.326,1.2,0.316,212
0.346,1.2,0.337,237
0.357,1.2,0.348,251
0.362,1.2,0.352,256
0.363,1.2,0.351,255
0.364,1.2,0.349,252
0.366,1.2,0.352,256
0.366,1.2,0.348,251
0.367,1.2,0.347,250
0.374,1.2,0.357,262
0.379,1.2,0.364,270
0.384,1.2,0.365,272
0.385,1.2,0.365,272
0.386,1.2,0.365,272
0.391,1.2,0.375,284
0.398,1.2,0.377,286
0.399,1.2,0.377,286
0.4,1.2,0.378,287
0.401,1.2,0.378,287
0.402,1.2,0.383,293
0.403,1.2,0.378,288
0.404,1.2,0.381,291
0.405,1.2,0.378,287
0.418,1.2,0.392,304
0.422,1.2,0.392,305
0.423,1.2,0.394,307
0.424,1.2,0.392,305
0.425,1.2,0.397,311
0.426,1.2,0.397,311
0.429,1.2,0.4,314
0.43,1.2,0.397,311
0.431,1.2,0.397,310
0.432,1.2,0.401,315
0.433,1.2,0.396,309
0.434,1.2,0.404,319
0.435,1.2,0.405,320
0.445,1.2,0.413,330
0.446,1.2,0.405,320
0.448,1.2,0.41,327
0.448,1.2,0.408,324
0.449,1.2,0.414,331
0.454,1.2,0.417,335
0.456,1.2,0.418,336
0.457,1.2,0.418,336
0.458,1.2,0.418,336
0.459,1.2,0.418,336
0.459,1.2,0.421,340
0.462,1.2,0.432,353
0.462,1.2,0.421,340
0.464,1.2,0.423,342
0.468,1.2,0.426,346
0.473,1.2,0.43,351
0.474,1.2,0.427,347
0.475,1.2,0.431,352
0.483,1.2,0.437,359
0.484,1.2,0.436,358
0.485,1.2,0.438,361
0.488,1.2,0.443,367
0.49,1.2,0.443,367
0.49,1.2,0.439,362
0.491,1.2,0.44,363
0.492,1.2,0.443,367
0.497,1.2,0.445,369
0.502,1.2,0.453,379
0.503,1.2,0.449,374
0.509,1.2,0.457,384
0.517,1.2,0.459,386
0.524,1.2,0.466,395
0.532,1.2,0.47,399
0.537,1.2,0.47,400
0.538,1.2,0.471,401
0.539,1.2,0.472,402
0.54,1.2,0.475,405
0.541,1.2,0.474,404
0.542,1.2,0.476,407
0.562,1.2,0.489,423
0.563,1.2,0.488,422
0.564,1.2,0.494,429
0.565,1.2,0.489,423
0.566,1.2,0.489,423
0.567,1.2,0.496,431
0.568,1.2,0.486,419
0.57,1.2,0.497,433
0.575,1.2,0.497,432
0.576,1.2,0.498,434
0.577,1.2,0.497,432
0.578,1.2,0.497,432
0.582,1.2,0.501,437
0.588,1.2,0.502,439
0.592,1.2,0.51,448
0.593,1.2,0.506,443
0.594,1.2,0.51,448
0.595,1.2,0.51,448
0.596,1.2,0.512,451
0.597,1.2,0.51,448
0.598,1.2,0.51,448
0.599,1.2,0.516,455
0.6,1.2,0.515,454
0.601,1.2,0.513,452
0.603,1.2,0.516,455
0.613,1.2,0.515,454
0.614,1.2,0.519,459
0.618,1.2,0.523,464
0.619,1.2,0.525,466
0.621,1.2,0.524,465
0.621,1.2,0.525,467
0.622,1.2,0.525,467
0.623,1.2,0.53,473
0.625,1.2,0.53,473
0.626,1.2,0.527,469
0.631,1.2,0.531,474
0.633,1.2,0.529,471
0.633,1.2,0.531,474
