t,u,v,raw
0.001,1.2,0.142,0
0.002,1.2,0.142,0
0.003,1.2,0.142,0
0.004,1.2,0.142,0
0.006,1.2,0.142,0
0.013,1.2,0.142,0
0.014,1.2,0.142,0
0.015,1.2,0.142,0
0.016,1.2,0.142,0
0.017,1.2,0.142,0
0.018,1.2,0.142,0
0.021,1.2,0.142,0
0.022,1.2,0.142,0
0.023,1.2,0.142,0
0.024,1.2,0.142,0
0.025,1.2,0.142,0
0.03,1.2,0.142,0
0.032,1.2,0.142,0
0.033,1.2,0.142,0
0.034,1.2,0.142,0
0.035,1.2,0.142,0
0.037,1.2,0.142,0
0.038,1.2,0.142,0
0.044,1.2,0.142,0
0.045,1.2,0.142,0
0.046,1.2,0.142,0
0.047,1.2,0.142,0
0.048,1.2,0.142,0
0.049,1.2,0.142,0
0.05,1.2,0.142,0
0.051,1.2,0.142,0
0.052,1.2,0.142,0
0.053,1.2,0.142,0
0.054,1.2,0.142,0
0.055,1.2,0.142,0
0.056,1.2,0.142,0
0.067,1.2,0.142,0
0.068,1.2,0.142,0
0.08,1.2,0.142,0
0.085,1.2,0.142,0
0.086,1.2,0.142,0
0.089,1.2,0.142,0
0.09,1.2,0.142,0
0.09,1.2,0.142,0
0.091,1.2,0.142,0
0.093,1.2,0.142,0
0.093,1.2,0.142,0
0.097,1.2,0.142,0
0.098,1.2,0.142,0
0.099,1.2,0.142,0
0.1,1.2,0.142,0
0.101,1.2,0.142,0
0.102,1.2,0.142,0
0.103,1.2,0.142,0
0.104,1.2,0.142,0
0.105,1.2,0.142,0
0.106,1.2,0.142,0
0.116,1.2,0.142,0
0.117,1.2,0.142,0
0.119,1.2,0.142,0
0.119,1.2,0.142,0
0.12,1.2,0.142,0
0.122,1.2,0.142,0
0.122,1.2,0.142,0
0.123,1.2,0.142,0
0.128,1.2,0.142,0
0.129,1.2,0.142,0
0.13,1.2,0.142,0
0.131,1.2,0.142,0
0.132,1.2,0.142,0
0.133,1.2,0.142,0
0.134,1.2,0.142,0
0.135,1.2,0.142,0
0.136,1.2,0.142,0
0.137,1.2,0.142,0
0.147,1.2,0.142,0
0.152,1.2,0.142,0
0.157,1.2,0.142,0
0.158,1.2,0.142,0
0.159,1.2,0.142,0
0.162,1.2,0.142,0
0.162,1.2,0.142,0
0.162,1.2,0.142,0
0.163,1.2,0.142,0
0.164,1.2,0.142,0
0.175,1.2,0.142,0
0.176,1.2,0.142,0
0.192,1.2,0.142,0
0.193,1.2,0.142,0
0.194,1.2,0.142,0
0.205,1.2,0.142,0
0.206,1.2,0.142,0
0.207,1.2,0.142,0
0.208,1.2,0.142,0
0.209,1.2,0.142,0
0.213,1.2,0.142,0
0.214,1.2,0.142,0
0.215,1.2,0.142,0
0.216,1.2,0.142,0
0.229,1.2,0.142,0
0.23,1.2,0.142,0
0.231,1.2,0.142,0
0.235,1.2,0.142,0
0.236,1.2,0.142,0
0.237,1.2,0.142,0
0.238,1.2,0.142,0
0.239,1.2,0.142,0
0.24,1.2,0.142,0
0.241,1.2,0.142,0
0.242,1.2,0.142,0
0.243,1.2,0.142,0
0.244,1.2,0.142,0
0.245,1.2,0.142,0
0.246,1.2,0.142,0
0.247,1.2,0.142,0
0.257,1.2,0.142,0
0.261,1.2,0.142,0
0.262,1.2,0.142,0
0.263,1.2,0.142,0
0.264,1.2,0.142,0
0.265,1.2,0.142,0
0.266,1.2,0.142,0
0.267,1.2,0.142,0
0.268,1.2,0.142,0
0.269,1.2,0.142,0
0.27,1.2,0.142,0
0.271,1.2,0.142,0
0.272,1.2,0.142,0
0.273,1.2,0.142,0
0.274,1.2,0.142,0
0.284,1.2,0.142,0
0.285,1.2,0.142,0
0.289,1.2,0.142,0
0.29,1.2,0.142,0
0.291,1.2,0.142,0
0.292,1.2,0.142,0
0.293,1.2,0.142,0
0.294,1.2,0.142,0
0.295,1.2,0.142,0
0.296,1.2,0.142,0
0.297,1.2,0.142,0
0.298,1.2,0.142,0
0.299,1.2,0.142,0
0.3,1.2,0.142,0
0.31,1.2,0.142,0
0.311,1.2,0.142,0
0.312,1.2,0.142,0
0.313,1.2,0.142,0
0.314,1.2,0.142,0
0.318,1.2,0.142,0
0.319,1.2,0.142,0
0.32,1.2,0.142,0
0.322,1.2,0.142,0
0.322,1.2,0.142,0
0.323,1.2,0.142,0
0.325,1.2,0.142,0
0.325,1.2,0.142,0
0.327,1.2,0.142,0
0.327,1.2,0.142,0
0.328,1.2,0.142,0
0.33,1.2,0.142,0
0.33,1.2,0.142,0
0.332,1.2,0.142,0
0.342,1.2,0.142,0
0.343,1.2,0.142,0
0.354,1.2,0.142,0
0.355,1.2,0.142,0
0.356,1.2,0.142,0
0.358,1.2,0.142,0
0.358,1.2,0.142,0
0.359,1.2,0.142,0
0.36,1.2,0.142,0
0.364,1.2,0.142,0
0.365,1.2,0.142,0
0.366,1.2,0.142,0
0.367,1.2,0.142,0
0.368,1.2,0.142,0
0.369,1.2,0.142,0
0.37,1.2,0.142,0
0.371,1.2,0.142,0
0.372,1.2,0.142,0
0.373,1.2,0.142,0
0.384,1.2,0.142,0
0.385,1.2,0.142,0
0.386,1.2,0.142,0
0.39,1.2,0.142,0
0.391,1.2,0.142,0
0.392,1.2,0.142,0
0.393,1.2,0.142,0
0.394,1.2,0.142,0
0.405,1.2,0.142,0
0.406,1.2,0.142,0
0.41,1.2,0.142,0
0.411,1.2,0.142,0
0.412,1.2,0.142,0
0.413,1.2,0.142,0
0.414,1.2,0.142,0
0.415,1.2,0.142,0
0.416,1.2,0.142,0
0.417,1.2,0.142,0
0.418,1.2,0.142,0
0.419,1.2,0.142,0
0.42,1.2,0.142,0
0.421,1.2,0.142,0
0.422,1.2,0.142,0
0.433,1.2,0.142,0
0.434,1.2,0.142,0
0.435,1.2,0.142,0
0.436,1.2,0.142,0
0.437,1.2,0.142,0
0.438,1.2,0.142,0
0.439,1.2,0.142,0
0.44,1.2,0.142,0
0.441,1.2,0.142,0
0.448,1.2,0.142,0
0.449,1.2,0.142,0
0.46,1.2,0.142,0
0.461,1.2,0.142,0
0.477,1.2,0.142,0
0.478,1.2,0.142,0
0.479,1.2,0.142,0
0.486,1.2,0.142,0
0.487,1.2,0.142,0
0.488,1.2,0.142,0
0.489,1.2,0.142,0
0.49,1.2,0.142,0
0.492,1.2,0.142,0
0.492,1.2,0.142,0
0.493,1.2,0.142,0
0.494,1.2,0.142,0
0.51,1.2,0.142,0
